iso3,year,educ_tertiary
AFE,1985,2.71170997619629
AFW,1985,2.3889799118042
ALB,1985,6.89037990570068
ARB,1985,9.36201953887939
ARG,1985,35.6665916442871
BDI,1985,0.578610002994537
BEN,1985,1.81951999664307
BFA,1985,0.572809994220734
BGD,1985,5.20755004882812
BHR,1985,9.24752998352051
BHS,1985,14.3001403808594
BLR,1985,45.119930267334
BRB,1985,19.9854698181152
BWA,1985,1.90848004817963
CAF,1985,1.03316998481751
CHN,1985,2.19702005386352
CIV,1985,2.22501993179321
CMR,1985,2.19409990310669
COD,1985,1.37082004547119
COG,1985,5.39250993728638
CSS,1985,5.98225021362305
CUB,1985,18.1460704803467
DMA,1985,0.691640019416809
EAP,1985,4.46297979354858
EAR,1985,7.84681987762451
EAS,1985,6.53017997741699
EGY,1985,17.8572292327881
FCS,1985,8.61392974853516
FJI,1985,2.97018003463745
GIN,1985,2.17640995979309
GTM,1985,6.82184982299805
GUY,1985,2.65282011032104
HND,1985,9.12495994567871
HPC,1985,2.50383996963501
IBD,1985,10.2196702957153
IBT,1985,9.1207799911499
IDA,1985,3.65946006774902
IDB,1985,3.77296996116638
IDN,1985,6.09567022323608
IDX,1985,3.57655000686646
IND,1985,5.83142995834351
IRQ,1985,9.38533973693848
ISL,1985,20.8871307373047
JOR,1985,19.7732696533203
KEN,1985,1.18039000034332
KHM,1985,0.281379997730255
KNA,1985,1.2441999912262
KWT,1985,13.0559797286987
LAO,1985,1.42267000675201
LBN,1985,20.8954391479492
LBY,1985,8.86345958709717
LCA,1985,2.17705988883972
LDC,1985,2.79086995124817
LIC,1985,5.11683988571167
LKA,1985,3.89485001564026
LMC,1985,5.63571977615356
LMY,1985,9.11038017272949
LSO,1985,1.18792998790741
LTE,1985,11.1134901046753
MDG,1985,3.93228006362915
MEA,1985,8.34799957275391
MIC,1985,9.3576602935791
MKD,1985,22.5533103942871
MLI,1985,1.04269003868103
MMR,1985,4.99931001663208
MNG,1985,23.2070503234863
MOZ,1985,0.139970004558563
MRT,1985,1.77372002601623
MUS,1985,0.987089991569519
MWI,1985,0.42875000834465
MYS,1985,5.98676013946533
NER,1985,0.45592999458313
NGA,1985,3.41904997825623
NIC,1985,8.0418701171875
NPL,1985,3.22163009643555
OMN,1985,0.326310008764267
OSS,1985,7.50434017181396
PAN,1985,24.0265007019043
PER,1985,22.8704204559326
PHL,1985,24.8644905090332
PNG,1985,1.51298999786377
PRE,1985,2.58225989341736
PRY,1985,9.27097988128662
PSS,1985,4.25334978103638
QAT,1985,15.1963300704956
RUS,1985,54.2255516052246
RWA,1985,0.342759996652603
SAU,1985,14.9427900314331
SEN,1985,2.25064992904663
SLE,1985,0.663990020751953
SLV,1985,14.121660232544
SSA,1985,2.58861994743347
SSF,1985,2.58812999725342
SST,1985,6.82032012939453
SUR,1985,6.1905198097229
SWZ,1985,4.3749098777771
SYR,1985,17.0832099914551
TCD,1985,0.37253999710083
TEA,1985,4.11627006530762
THA,1985,19.8500595092773
TON,1985,6.88948011398315
TSS,1985,2.58812999725342
TTO,1985,4.66695976257324
TUN,1985,5.0774998664856
TUR,1985,8.119460105896
TZA,1985,0.273930013179779
UGA,1985,0.735010027885437
UKR,1985,45.1448287963867
UMC,1985,10.1108102798462
USA,1985,59.2420692443848
VEN,1985,21.6080799102783
WLD,1985,13.6182899475098
ZWE,1985,1.89549994468689
AFE,1986,2.80894994735718
AFG,1986,2.19022011756897
AFW,1986,2.51521992683411
ALB,1986,7.06284999847412
ARB,1986,9.68360996246338
ARG,1986,37.8025398254395
ARM,1986,18.5561790466309
BDI,1986,0.639429986476898
BEN,1986,2.18576002120972
BFA,1986,0.591409981250763
BGD,1986,5.1406397819519
BHR,1986,8.91714000701904
BHS,1986,16.0247592926025
BLR,1986,46.2769012451172
BRN,1986,2.42632007598877
BWA,1986,2.26826000213623
CAF,1986,1.07129001617432
CHN,1986,2.78308010101318
COD,1986,1.3996399641037
COG,1986,5.30333995819092
CSS,1986,6.19642019271851
CUB,1986,19.7975006103516
DJI,1986,0.0
DOM,1986,17.9057102203369
EAP,1986,4.81120014190674
EAR,1986,7.60780000686646
EAS,1986,6.87367010116577
EGY,1986,17.7684803009033
ETH,1986,0.74848997592926
FCS,1986,8.65783977508545
FJI,1986,2.83617997169495
GIN,1986,1.74360001087189
GTM,1986,7.14701986312866
GUY,1986,2.70142006874085
HPC,1986,2.5425500869751
HTI,1986,1.05140995979309
IBD,1986,8.6370096206665
IBT,1986,7.79210996627808
IDA,1986,3.67985010147095
IDB,1986,3.78659009933472
IDN,1986,6.33362007141113
IDX,1986,3.60064005851746
IND,1986,5.99415016174316
IRQ,1986,10.750129699707
ISL,1986,21.4026794433594
JOR,1986,18.717399597168
KAZ,1986,37.1260986328125
KGZ,1986,27.0533695220947
KHM,1986,0.30715999007225
KNA,1986,4.66447019577026
KWT,1986,13.8445196151733
LAO,1986,1.43428003787994
LBN,1986,23.3470592498779
LDC,1986,2.82793998718262
LIC,1986,5.1949200630188
LKA,1986,3.96415996551514
LMC,1986,5.68365001678467
LMY,1986,7.76782989501953
LSO,1986,1.22450995445252
LTE,1986,8.39546966552734
MAR,1986,8.16674041748047
MDG,1986,3.87501001358032
MEA,1986,8.27248001098633
MIC,1986,7.92997980117798
MKD,1986,21.7958908081055
MLI,1986,0.938489973545074
MMR,1986,4.66200017929077
MNG,1986,23.2615604400635
MRT,1986,2.72984004020691
MUS,1986,0.95388001203537
MWI,1986,0.424620002508164
MYS,1986,6.9483699798584
NGA,1986,3.56057000160217
NIC,1986,7.23100996017456
NPL,1986,4.53497982025146
OMN,1986,0.814149975776672
OSS,1986,5.36840009689331
PAK,1986,2.80440998077393
PAN,1986,26.3602600097656
PER,1986,26.0895690917969
PHL,1986,22.3687896728516
PNG,1986,1.86074995994568
PRE,1986,2.71370005607605
PRY,1986,8.9486198425293
PSS,1986,3.95573997497559
QAT,1986,17.3450202941894
RUS,1986,55.5937118530273
RWA,1986,0.358440011739731
SAU,1986,15.7748403549194
SEN,1986,2.39743995666504
SLE,1986,1.77251994609833
SLV,1986,14.4281396865845
SSA,1986,2.69602990150452
SSF,1986,2.69552993774414
SST,1986,5.49169015884399
SUR,1986,5.80343008041382
SWZ,1986,3.92165994644165
SYR,1986,17.1959095001221
TEA,1986,4.46036005020142
THA,1986,18.4356708526611
TJK,1986,20.7210998535156
TKM,1986,22.1329402923584
TSS,1986,2.69552993774414
TTO,1986,5.6508002281189
TUN,1986,5.26846981048584
TUR,1986,8.93927001953125
TZA,1986,0.274250000715256
UGA,1986,0.775829970836639
UKR,1986,46.0389289855957
UMC,1986,7.52626991271973
USA,1986,60.9534912109375
UZB,1986,15.1638803482056
VCT,1986,6.10838985443115
VEN,1986,24.5814800262451
VIR,1986,27.9694690704346
VNM,1986,2.08523988723755
WLD,1986,12.5483102798462
ZMB,1986,2.24834990501404
ZWE,1986,2.29884004592896
AFE,1987,2.90907001495361
AFG,1987,1.71459996700287
AFW,1987,2.47387003898621
ALB,1987,7.123459815979
ARB,1987,9.79909992218018
ARG,1987,39.7573585510254
BDI,1987,0.623340010643005
BEN,1987,2.07451009750366
BFA,1987,0.618170022964478
BGD,1987,4.47925996780396
BHR,1987,7.04086017608643
BHS,1987,17.2592391967773
BLR,1987,47.3251914978027
BRN,1987,3.75074005126953
BWA,1987,2.52163004875183
CAF,1987,0.976400017738342
CHN,1987,3.05593991279602
CIV,1987,2.43722009658814
CMR,1987,2.46875
COD,1987,1.51699995994568
COG,1987,5.27370023727417
CSS,1987,6.45601987838745
CUB,1987,21.5216102600098
DZA,1987,8.84932041168213
EAP,1987,5.81178998947144
EAR,1987,8.01111030578613
EAS,1987,7.8642201423645
EGY,1987,17.8846893310547
ETH,1987,0.79569000005722
FCS,1987,9.08769035339355
GAB,1987,5.63495016098022
GIN,1987,1.29789996147156
HND,1987,8.83265972137451
HPC,1987,2.51004004478455
IBD,1987,9.33368015289307
IBT,1987,8.35669040679932
IDA,1987,3.71360993385315
IDB,1987,3.86467003822327
IDN,1987,7.50644016265869
IDX,1987,3.61267995834351
IND,1987,6.32631015777588
IRQ,1987,10.4136295318603
ISL,1987,21.397970199585
JAM,1987,5.0242600440979
JOR,1987,20.0179805755615
KEN,1987,1.33835005760193
KNA,1987,6.14176988601685
KWT,1987,14.5566596984863
LBN,1987,24.2220802307129
LBR,1987,2.43640995025635
LCA,1987,2.26263999938965
LDC,1987,2.84872007369995
LIC,1987,5.18932008743286
LMC,1987,5.89059019088745
LMY,1987,8.3397102355957
LSO,1987,1.37178003787994
LTE,1987,9.18723011016846
MAR,1987,8.55086040496826
MDG,1987,3.43509006500244
MEA,1987,8.42222023010254
