economy,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,,,,,,,,,,,,,,,25.6337509155273,28.3303394317627,28.8601303100586,28.5816898345947,30.3779106140137,30.352689743042,36.204231262207,34.2268714904785,34.8968086242676,35.0970611572266,34.4308586120605,36.0625305175781,37.8648109436035,38.8641815185547,17.1258697509766,17.7518997192383,16.7312393188477,17.1416206359863,,,,,,,,14.0655418559377
AFE,2.71170997619629,2.80894994735718,2.90907001495361,3.01823997497559,3.1723198890686,3.19349002838135,3.32539010047913,3.44453001022339,3.58260989189148,3.75828003883362,3.77903008460998,3.79064011573792,3.8187301158905,3.85899996757507,3.8215799331665,3.99448990821838,4.2595100402832,4.5005898475647,4.8099799156189,5.12434005737305,5.39512014389038,5.67903995513916,5.82964992523193,6.22163009643555,6.78540992736816,7.34631013870239,7.71177005767822,7.9946699142456,8.18673038482666,8.29104042053223,8.43400001525879,8.57314014434814,8.71269035339355,8.7509298324585,8.67273044586182,8.71187019348145,8.66186046600342,,,
AFG,,2.19022011756897,1.71459996700287,,,2.21519994735718,,,,,,,,,,,,,1.37434995174408,1.39064002037048,,,,,3.93815994262695,,3.68686008453369,,,8.39764022827148,,,,9.99592018127441,,10.85435962677,,,,
AFW,2.3889799118042,2.51521992683411,2.47387003898621,2.65233993530273,2.77177000045776,2.87589001655579,2.97762989997864,3.11690998077393,3.29299998283386,3.45100998878479,3.59401988983154,3.78765988349915,4.01411008834839,4.16986989974976,4.33806991577148,4.95100021362305,5.43233013153076,5.93669986724854,6.43214988708496,6.620689868927,7.03709983825684,7.09086990356445,7.31161022186279,7.55156993865967,7.67314004898071,7.94076013565063,8.23383045196533,8.61141014099121,9.13339042663574,9.39218044281006,9.45302963256836,9.26937007904053,9.39776039123535,9.58899021148682,9.73875999450684,9.93537998199463,10.1902599334717,,,
AGO,,,,0.581809997558594,0.5659099817276,0.594919979572296,0.60505998134613,0.573329985141754,,,,,,0.613650023937225,0.554629981517792,,,0.783640027046204,2.87620997428894,2.14597010612488,2.6385600566864,2.55977010726929,,,,,6.44004138280629,,9.22339720175662,,8.78320868033121,9.78287696232453,,,,,,,10.04935810264,9.9549065722902
ALB,6.89037990570068,7.06284999847412,7.123459815979,7.46460008621216,7.76358985900879,8.0117301940918,8.63831043243408,9.12522029876709,11.0173997879028,10.4434404373169,10.0794801712036,11.0262098312378,12.8083696365356,13.6314601898193,14.7700595855713,15.3867101669312,15.4820499420166,16.3895606994629,16.3662395477295,19.1295795440674,22.389009475708,26.2101001739502,30.2319297790527,31.6839599609375,32.9239883422852,43.3279304504395,49.3997040639925,58.6214186004979,63.8440585382953,65.5507096860696,61.9608485481051,58.4884791901189,58.0177836674929,56.0802964109938,61.4085141527142,61.5853024328899,59.9698690125562,62.647921513098,64.7293520237257,84.1496200561523
AND,,,,,,,,,,,,,,,,,,7.31105995178223,8.82861995697021,8.74967002868652,8.41534996032715,9.89391040802002,,10.986120223999,,,,12.870249017038,14.5405405405405,13.5399673735726,13.8206896551724,15.2011095700416,15.6664896441848,15.7132150886835,15.4352596927579,15.2605749006777,15.4117647058823,34.6414389161411,62.4106937082277,67.6767676767677
ARB,9.36201953887939,9.68360996246338,9.79909992218018,13.7320003509522,9.67932987213135,9.73840045928955,9.47113037109375,10.0868196487427,10.910590171814,11.8772401809692,12.6549396514893,13.5704402923584,14.5025501251221,15.4457502365112,16.7325000762939,16.8672409057617,17.4352397918701,18.2287998199463,18.2871894836426,19.4084701538086,20.39501953125,20.922119140625,21.5595207214356,22.4240398406982,23.2823505401611,24.0447006225586,23.5923805236816,24.9674091339111,26.6111106872559,27.9501495361328,29.4163494110107,29.9698600769043,30.7080307006836,31.8304405212402,32.1644706726074,32.7869911193848,32.6684608459473,32.7095909118652,33.2456398010254,35.0803985595703
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2113281680102,53.8814655213653,54.9746998074699,56.4520334436146,60.4188226013954,61.3456114422447,63.7384451086316
ARG,35.6665916442871,37.8025398254395,39.7573585510254,,,,38.3296699523926,,,37.3899002075195,,,,47.9862289428711,49.5107002258301,54.0843505859375,58.4697608947754,61.7228813171387,64.0304870605469,64.5891418457031,63.4893112182617,66.9444732666016,66.6672210693359,68.5610733032227,70.6931915283203,73.803669361107,77.0101185060955,78.1465174294761,78.5681646081939,81.072589697739,83.75569332589,86.6743832906399,89.3297346952415,91.0846512732766,95.1928240640628,99.3697348717996,107.219557633976,107.103901423423,107.822574129434,
ARM,,18.5561790466309,,19.5468807220459,20.9915599822998,22.0238304138184,23.5778503417969,22.9340400695801,22.5643806457519,19.1631298065186,19.5058898925781,16.6888809204102,21.8644905090332,31.5830402374268,32.2853813171387,32.5305213928223,31.3409194946289,33.9618911743164,35.0657081604004,35.8360900878906,37.7094497680664,41.5903587341309,44.4558410644531,46.5244903564453,49.0897102355957,50.5839875932926,51.2949290708131,44.4855719494927,44.8347790892711,47.7150849538629,48.7313687040259,54.3432877365993,55.5065519523494,57.4585357681354,53.5944174785534,52.3331534448642,56.6235144830279,57.1818422625098,56.2770051010456,52.7748065090859
ASM,,,,,19.6201190948486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,14.8930101394653,16.6952054794521,15.1060820367751,25.1156271899089,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.679389953613,119.682777404785,109.993309020996,103.322090148926,109.759559631348,110.139221191406,112.688293457031,106.240760803223,104.64835357666,108.421989440918
AUT,,,,,,,,,,,,,,,,,,,,,,,63.8021202087402,66.1983871459961,67.9915771484375,75.0402526855469,77.2625122070312,79.5471267700195,80.9616012573242,81.0195693969727,82.2563095092773,82.8496932983398,83.8392562866211,85.8698883056641,86.3234329223633,88.7071990966797,93.940071105957,94.5116882324219,91.6818237304688,92.6126708984375
AZE,,,,,,,,,,,,,,,,,,,,,,19.7894592285156,19.3645992279053,19.0478897094727,19.057710647583,19.2600431394615,19.6473062365442,20.4384614704139,21.4404253568261,23.1597349800287,25.4831961094662,27.2368629930846,28.4670565431322,28.9724903670069,32.9221812477847,36.3854742250215,39.0095977224788,41.0017793895325,41.3907560278377,41.3413783372226
BDI,0.578610002994537,0.639429986476898,0.623340010643005,0.727800011634827,0.726930022239685,0.681379973888397,0.755699992179871,0.786339998245239,0.828920006752014,,,,,0.864509999752045,0.916909992694855,1.05474996566773,1.03059995174408,1.60111999511719,,2.10109996795654,2.13503003120422,2.16554999351502,2.26625990867615,2.49793004989624,2.6779100894928,3.05528938002435,,2.92052732762984,3.70341642841244,4.46892058042299,5.25856537918645,3.97908916361797,4.30528005798307,4.55281922933846,,,,,6.02545976638794,
BEL,,,,,,,,,,,,,,,,,56.7148895263672,58.1100807189941,59.6124610900879,62.0411491394043,62.8203315734863,63.3717384338379,62.461841583252,62.7642097473145,64.9798431396484,66.8578872680664,67.7034072875977,69.7490615844727,71.7841110229492,74.0397262573242,76.423942565918,77.2435073852539,80.7738189697266,79.1237487792969,79.3044815063477,79.4996032714844,82.6882019042969,83.5736465454102,82.1475601196289,
BEN,1.81951999664307,2.18576002120972,2.07451009750366,2.01651000976562,2.15107011795044,1.9679399728775,2.25591993331909,2.13378000259399,1.94243001937866,1.89841997623444,1.97397005558014,1.99114000797272,2.43330001831055,,3.09658002853394,3.49604988098144,4.20038986206055,4.92833995819092,5.43203020095825,5.47938013076782,5.41120004653931,6.20295000076294,7.43086004257202,7.34216022491455,9.3462495803833,12.6081895828247,11.8088598251343,12.8605403900147,14.7752199172974,14.6916198730469,12.4851799011231,11.9529895782471,11.337929725647,11.5739097595215,10.3906803131103,10.3808002471924,9.82796955108643,10.2350101470947,,
BFA,0.572809994220734,0.591409981250763,0.618170022964478,0.659489989280701,0.737389981746674,0.744490027427673,0.695360004901886,0.928770005702972,1.0837299823761,1.05731999874115,1.1000200510025,1.05685997009277,0.968949973583221,,0.983640015125275,,1.11434996128082,1.34107005596161,1.50508999824524,,2.14314007759094,2.25787997245789,2.40549993515015,2.92968010902405,3.26682996749878,3.34944579587797,3.91906920981907,4.33792685706514,4.57338342077701,4.89539917725699,4.90356866333498,5.40541465878063,5.8341880408112,6.31826110291158,6.90532594926159,7.64277062242324,9.30513098594236,9.67069485831779,10.1078755635882,10.0419678526515
BGD,5.20755004882812,5.1406397819519,4.47925996780396,3.86227011680603,3.81795001029968,4.3600001335144,,,,,,,,,5.28646993637085,5.25165987014771,6.17244005203247,5.91559982299805,5.99128007888794,5.55667018890381,6.13484001159668,7.07040023803711,7.66305017471313,8.62265968322754,10.4939298629761,,13.2663245348367,13.4211598649529,13.4900578063704,13.5777392703559,15.5739926180902,17.3985207411042,18.5175604399834,19.5710492453779,22.7094642473405,22.6923019564501,23.9006822335243,23.5005059888653,24.2003442708621,23.7295608009814
BGR,,,,,,,,,,,,,,,,,41.0407791137695,41.4290084838867,42.8536109924316,43.6935691833496,46.225269317627,47.7948303222656,51.2403411865234,52.6504096984863,55.0083694458008,58.354850769043,59.8246803283691,62.1616516113281,68.2013397216797,72.981559753418,78.2999572753906,80.6399612426758,81.2245864868164,83.134880065918,84.7503128051758,85.5331115722656,85.3017501831055,84.1293563842773,79.8532333374023,69.5460433959961
