DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,SOC,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2016,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,7.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BEN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,8.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BFA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,7.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BFA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,9.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BFA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,9.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BGD,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,22,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BGR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,88.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BGR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,82.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BHR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,75.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BHR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,86.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BHS,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,49.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BHS,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,49.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BIH,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,54.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BLR,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,36,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BLZ,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,37.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BLZ,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,32,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BMU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,80.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BMU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,80.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BMU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,80,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BOL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,40.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BOL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,33.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BOL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,38.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,59.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,74.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,69.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
